h,0,totalCurrent,gyro,motorSpeedLeft,motorSpeedRight,motorRoller,batteryVoltage,pdpTemp,accelX,accelY,accelZ,current1,current2,current3,current14,current15
d,721,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0,1942617.0
d,722,1945761.0,1945762.0,1945762.0,1945762.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0,1945763.0
d,723,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0,1948244.0
d,724,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0,1951205.0
d,725,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0,1953678.0
d,726,1956672.0,1956672.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956673.0,1956674.0
d,727,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0,1958893.0
d,728,1961947.0,1961948.0,1961948.0,1961948.0,1961948.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0,1961949.0
d,729,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0,1964233.0
d,730,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0,1967311.0
d,731,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0,1970323.0
d,732,1973299.0,1973299.0,1973299.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0,1973300.0
